,Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
animal ,Group,Date,Time,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
12,,14.03.2018,13:49:09,0:05:00,7.3,436,79.9,151,268,751,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.8,15.3,9.2,12,0,0,0,0,32.4,7,33.1,8.8,93,7.1,12,0,0,0,0,100,29,8.1,60,7.3,436,0,0,0,0,0,79.9,151,0
12,,14.03.2018,13:50:09,0:06:00,6,361.3,77.6,179,223,627,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,1,0,0,0,0,0,0,2.1,2.6,10.4,2.8,4,0,0,0,0,37.2,8,57.9,60,6,361.3,0,0,0,0,0,77.6,179,0
12,,14.03.2018,13:51:09,0:07:00,4.8,288.8,74.8,213,144,409,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.9,0,0,4,0,0,0,0,0,3,0.4,6.1,1.8,1,10,0,0,0,0,36,18,11,60,4.8,288.8,0,0,0,0,0,74.8,213,0
12,,14.03.2018,13:52:09,0:08:00,4.3,257.9,71.9,180,142,332,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6.6,4,1.4,6,0,0,0,0,89.5,15,32.9,0,0,0,0,0,0,0,0,0,0,0,60,4.3,257.9,0,0,0,0,0,71.9,180,0
12,,14.03.2018,13:53:09,0:09:00,5.9,356.3,72.7,200,194,627,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,2,0,0,0,0,0,2,3.1,60,5.9,356.3,0,0,0,0,0,72.7,200,0
12,,14.03.2018,13:54:09,0:10:00,4.9,295.4,69.6,215,166,439,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.6,16.1,14.2,4,0,0,0,0,39.1,5,24.9,2.5,0,0,2,0,0,0,0,0,4,57.4,60,4.9,295.4,0,0,0,0,0,69.6,215,0
13,,14.03.2018,13:57:21,0:01:00,9,538.3,80.8,141,330,1101,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.8,0,0,6,0,0,0,0,0,9,28.6,0.8,0,0,2,0,0,0,0,0,3,15.6,60,9,538.3,0,0,0,0,0,80.8,141,0
13,,14.03.2018,13:58:21,0:02:00,3.3,196.1,51.3,272,109,299,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.1,0,0,1,0,0,0,0,0,0,6.5,1.4,0,0,3,0,0,0,0,0,1,0.2,60,3.3,196.1,0,0,0,0,0,51.3,272,0
13,,14.03.2018,13:59:21,0:03:00,8.4,503.1,85.2,117,314,993,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.5,0,0,3,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,60,8.4,503.1,0,0,0,0,0,85.2,117,0
13,,14.03.2018,14:00:21,0:04:00,8.8,528.4,88.9,107,310,989,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.9,0,0,3,0,0,0,0,0,5,20.2,4.1,9.4,4.6,8,0,0,0,0,100,7,1.9,60,8.8,528.4,0,0,0,0,0,88.9,107,0
13,,14.03.2018,14:01:21,0:05:00,7.7,460.8,77.6,141,276,782,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.9,5.8,11.4,6,0,0,0,0,34.9,3,18.7,4.9,23.2,17.6,9,0,0,0,0,50.9,11,8,60,7.7,460.8,0,0,0,0,0,77.6,141,0
13,,14.03.2018,14:02:21,0:06:00,7.2,430.2,83,123,260,773,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,1,0,0,0,0,0,0,56.4,1.5,6.8,1.4,8,0,0,0,0,82.5,2,32.4,60,7.2,430.2,0,0,0,0,0,83,123,0
13,,14.03.2018,14:03:21,0:07:00,6.6,394.6,82.8,143,245,717,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3,0.3,0.4,3,0,0,0,0,6,3,42.8,0.6,0,0,2,0,0,0,0,0,0,39.8,60,6.6,394.6,0,0,0,0,0,82.8,143,0
13,,14.03.2018,14:04:21,0:08:00,6.3,375.6,79.6,149,232,671,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1,0,0,0,0,0,4,35.9,60,6.3,375.6,0,0,0,0,0,79.6,149,0
13,,14.03.2018,14:05:21,0:09:00,2.9,171.7,65.4,281,61,71,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.9,171.7,0,0,0,0,0,65.4,281,0
13,,14.03.2018,14:06:21,0:10:00,7.3,436.1,80.7,158,251,733,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",5.9,1.6,0.3,2,0,0,0,0,36.2,21,9.2,4.4,5.9,9.6,6,0,0,0,0,78.8,11,2.1,60,7.3,436.1,0,0,0,0,0,80.7,158,0
14,,14.03.2018,14:09:58,0:01:00,7.2,431,76.3,156,245,829,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.6,0,0,4,0,0,0,0,0,1,3,4.1,0,0,7,0,0,0,0,0,15,7,60,7.2,431,0,0,0,0,0,76.3,156,0
14,,14.03.2018,14:10:58,0:02:00,6.7,401.3,80.5,144,238,755,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.5,0,0,5,0,0,0,0,0,15,12.1,0,0,0,0,0,0,0,0,0,0,0,60,6.7,401.3,0,0,0,0,0,80.5,144,0
14,,14.03.2018,14:11:58,0:03:00,4.2,254.7,61.1,199,174,488,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,1,0,0,0,0,0,0,0.2,0.3,0,0,1,0,0,0,0,0,0,1.5,60,4.2,254.7,0,0,0,0,0,61.1,199,0
14,,14.03.2018,14:12:58,0:04:00,7.1,426.3,73.4,163,263,883,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.3,0,0,5,0,0,0,0,0,10,11.3,2.7,7.4,6.1,5,0,0,0,0,90,9,7.8,60,7.1,426.3,0,0,0,0,0,73.4,163,0
14,,14.03.2018,14:13:58,0:05:00,2.6,154,55,222,113,194,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.6,154,0,0,0,0,0,55,222,0
14,,14.03.2018,14:14:58,0:06:00,3.1,188.1,53.2,243,109,279,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.4,0,0,2,0,0,0,0,0,0,41.8,4.3,0,0,12,0,0,0,0,0,15,53.4,60,3.1,188.1,0,0,0,0,0,53.2,243,0
14,,14.03.2018,14:15:58,0:07:00,5.5,327.5,63.4,163,208,591,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.1,27.5,13,2,0,0,0,0,41.6,3,28.1,1.1,0,0,1,0,0,0,0,0,0,21.9,60,5.5,327.5,0,0,0,0,0,63.4,163,0
14,,14.03.2018,14:16:58,0:08:00,1.8,110.3,49.5,218,60,85,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1.8,110.3,0,0,0,0,0,49.5,218,0
14,,14.03.2018,14:17:58,0:09:00,4.8,286.8,65.1,207,168,476,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.4,0,0,2,0,0,0,0,0,6,21.3,0.4,0,0,3,0,0,0,0,0,0,24.4,60,4.8,286.8,0,0,0,0,0,65.1,207,0
14,,14.03.2018,14:18:58,0:10:00,5.8,345,74,196,202,622,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.2,9.9,0.3,6,0,0,0,0,100,22,39.8,6.3,9.7,17.8,24,0,0,0,0,90.3,17,7.3,60,5.8,345,0,0,0,0,0,74,196,0
21,,14.03.2018,11:35:31,0:01:00,4.1,246.3,57.5,260,163,418,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4.1,246.3,0,0,0,0,0,57.5,260,0
21,,14.03.2018,11:36:31,0:02:00,2.5,150.9,51.7,242,98,167,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.5,150.9,0,0,0,0,0,51.7,242,0
21,,14.03.2018,11:37:31,0:03:00,4.7,280.4,59,167,165,459,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.1,10.7,11,6,0,0,0,0,16.8,7,6.2,0.4,0,0,3,0,0,0,0,0,0,11.6,60,4.7,280.4,0,0,0,0,0,59,167,0
