Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
No.,Date,Group,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
82,3/14/18,,0:10:00,5,2998.9,67.6,1819,1781,4961,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1,0,0,5,0,0,0,0,0,1,5.9,1.1,0,0,2,0,0,0,0,0,4,11.3,600,5,2998.9,0,0,0,0,0,67.6,1819,0
83,3/14/18,,0:10:00,6.7,4043.5,76.3,1791,2442,7395,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.2,0,0,15,0,0,0,0,0,7,7.5,5.3,0,0,24,0,0,0,0,0,12,74.3,600,6.7,4043.5,0,0,0,0,0,76.3,1791,0
62,3/15/18,,0:10:00,3.3,2009.2,54.1,2033,1196,2930,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.8,0,0,5,0,0,0,0,0,10,13.3,1.7,0,0,3,0,0,0,0,0,5,99.5,600,3.3,2009.2,0,0,0,0,0,54.1,2033,0
66,3/15/18,,0:10:00,4.4,2632.7,64.9,1922,1618,3963,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",24.8,12.3,71.6,48,0,0,0,0,71.3,51,10.3,14.8,7.7,12.8,39,0,0,0,0,89.5,28,26.2,600,4.4,2632.7,0,0,0,0,0,64.9,1922,0
67,3/15/18,,0:10:00,8.4,5036.4,75.3,1509,3031,8851,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",66.7,11.8,164.9,105,0,0,0,0,52.5,155,20.1,45.7,11.2,165.9,87,0,0,0,0,52.7,95,47.1,600,8.4,5036.4,0,0,0,0,0,75.3,1509,0
68,3/15/18,,0:10:00,5.6,3386.3,68.6,1956,2036,5788,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",31.2,9.3,97.2,60,0,0,0,0,41.3,71,31.5,25.2,10.2,45.3,50,0,0,0,0,63.8,49,28.4,600,5.6,3386.3,0,0,0,0,0,68.6,1956,0
69,3/15/18,,0:10:00,4.8,2869.3,72.4,2068,1787,3981,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",35,17.6,93.8,75,0,0,0,0,75.2,93,44.8,22.1,9.9,4.8,38,0,0,0,0,100,50,24.4,600,4.8,2869.3,0,0,0,0,0,72.4,2068,0
44,3/15/18,,0:10:00,4.1,2448.2,62.2,1955,1541,3631,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",19.7,9.5,32,39,0,0,0,0,75.1,54,4.4,17.7,7.1,22.3,40,0,0,0,0,60.5,44,25,600,4.1,2448.2,0,0,0,0,0,62.2,1955,0
45,3/15/18,,0:10:00,5.8,3451.8,74.9,1703,2108,5650,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",34.1,11.3,74.4,88,0,0,0,0,65.9,65,88.5,52.6,5.8,22.2,127,0,0,0,0,42.7,156,9.2,600,5.8,3451.8,0,0,0,0,0,74.9,1703,0
46,3/15/18,,0:10:00,4.2,2532.7,61.6,2087,1449,3980,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.2,0,0,15,0,0,0,0,0,3,13,0.5,0,0,1,0,0,0,0,0,2,201.7,600,4.2,2532.7,0,0,0,0,0,61.6,2087,0
47,3/15/18,,0:10:00,3.2,1910.1,54.6,1876,1083,2914,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",15.3,5.8,13.1,34,0,0,0,0,63,43,25.5,37.2,5.6,46.5,61,0,0,0,0,31,108,18.2,600,3.2,1910.1,0,0,0,0,0,54.6,1876,0
36,3/15/18,,0:10:00,3.6,2160.6,60.3,1982,1271,3252,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",4.5,0,0,10,0,0,0,0,0,17,198.4,2.2,0,0,5,0,0,0,0,0,11,48.2,600,3.6,2160.6,0,0,0,0,0,60.3,1982,0
37,3/15/18,,0:10:00,6.2,3738.5,72,1707,2347,6661,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6.1,660.4,50.9,13,0,0,0,0,33.8,21,9.5,13.5,3.4,7.7,28,0,0,0,0,83.3,41,3.4,600,6.2,3738.5,0,0,0,0,0,72,1707,0
38,3/15/18,,0:10:00,3.5,2124.3,56.2,1663,1300,3278,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.2,0,0,5,0,0,0,0,0,3,4.6,4.2,0,0,15,0,0,0,0,0,4,1.3,599.9,3.5,2124.3,0,0,0,0,0,56.2,1663,0
39,3/15/18,,0:10:00,6,3584.7,73,1489,2103,6644,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6.2,0,0,20,0,0,0,0,0,8,4.9,8.8,0,0,20,0,0,0,0,0,20,34.6,600,6,3584.7,0,0,0,0,0,73,1489,0
15,3/15/18,,0:10:00,5.6,3345.4,68.8,1759,1947,5666,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",44.5,4.2,5.6,97,0,0,0,0,40.8,92,41.1,28.5,28.2,4.8,56,0,0,0,0,100,67,13.5,600,5.6,3345.4,0,0,0,0,0,68.8,1759,0
16,3/15/18,,0:10:00,4.4,2624.4,58.8,1516,1611,4621,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",2.7,0,0,10,0,0,0,0,0,9,12,3.1,0,0,8,0,0,0,0,0,8,89.7,600,4.4,2624.4,0,0,0,0,0,58.8,1516,0
17,3/15/18,,0:10:00,3,1809.3,60.5,2107,974,2425,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.9,0,0,9,0,0,0,0,0,0,47.9,4.5,0,0,9,0,0,0,0,0,14,152.8,600,3,1809.3,0,0,0,0,0,60.5,2107,0
18,3/15/18,,0:10:00,6,3605,74.3,1525,2162,6482,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",29,2.1,6.9,47,0,0,0,0,23.9,41,89.8,16.5,5.4,3.4,51,0,0,0,0,100,18,2.6,600,6,3605,0,0,0,0,0,74.3,1525,0
